method,budget,seed,accuracy,runtime
TypiClust-KMeans,10,0,0.1089,5.446737051010132
TypiClust-HDBSCAN,10,0,0.1344,5.244655609130859
Random,10,0,0.1204,4.9242777824401855
TypiClust-KMeans,20,0,0.115,5.319684743881226
TypiClust-HDBSCAN,20,0,0.1358,5.4788899421691895
Random,20,0,0.1238,5.386943578720093
TypiClust-KMeans,40,0,0.1928,6.031075716018677
TypiClust-HDBSCAN,40,0,0.1787,6.029179573059082
Random,40,0,0.1505,6.131033658981323
TypiClust-KMeans,80,0,0.2537,7.104031085968018
TypiClust-HDBSCAN,80,0,0.1978,6.119720220565796
Random,80,0,0.2016,6.927767276763916
TypiClust-KMeans,10,1,0.1113,5.2914557456970215
TypiClust-HDBSCAN,10,1,0.1145,5.235460519790649
Random,10,1,0.1454,5.214343309402466
TypiClust-KMeans,20,1,0.147,5.515976667404175
TypiClust-HDBSCAN,20,1,0.1592,5.5390143394470215
Random,20,1,0.1682,5.531092166900635
TypiClust-KMeans,40,1,0.1941,6.140594005584717
TypiClust-HDBSCAN,40,1,0.1786,6.118769645690918
Random,40,1,0.1757,6.094590187072754
TypiClust-KMeans,80,1,0.2661,7.071669816970825
TypiClust-HDBSCAN,80,1,0.2009,6.111470460891724
Random,80,1,0.1878,6.966298818588257
TypiClust-KMeans,10,2,0.1176,5.102777004241943
TypiClust-HDBSCAN,10,2,0.1389,5.090582370758057
Random,10,2,0.1356,5.053675174713135
TypiClust-KMeans,20,2,0.1316,5.419155597686768
TypiClust-HDBSCAN,20,2,0.1446,5.41346287727356
Random,20,2,0.1395,5.447119951248169
TypiClust-KMeans,40,2,0.1943,6.136726140975952
TypiClust-HDBSCAN,40,2,0.1898,6.0406653881073
Random,40,2,0.2116,6.0402281284332275
TypiClust-KMeans,80,2,0.2594,6.92737340927124
TypiClust-HDBSCAN,80,2,0.1885,6.160142421722412
Random,80,2,0.1921,7.075758457183838
TypiClust-KMeans,10,3,0.1048,5.014101028442383
TypiClust-HDBSCAN,10,3,0.1287,5.0476393699646
Random,10,3,0.1208,5.106951475143433
TypiClust-KMeans,20,3,0.0949,5.4226555824279785
TypiClust-HDBSCAN,20,3,0.1568,5.4259538650512695
Random,20,3,0.1346,5.401083469390869
TypiClust-KMeans,40,3,0.2308,6.0936455726623535
TypiClust-HDBSCAN,40,3,0.1706,6.049559116363525
Random,40,3,0.1762,6.093228101730347
TypiClust-KMeans,80,3,0.253,7.040088891983032
TypiClust-HDBSCAN,80,3,0.1928,6.30092716217041
Random,80,3,0.2164,7.3472137451171875
TypiClust-KMeans,10,4,0.124,5.73135232925415
TypiClust-HDBSCAN,10,4,0.1498,5.459069490432739
Random,10,4,0.1431,5.5286641120910645
TypiClust-KMeans,20,4,0.1063,5.7865588665008545
TypiClust-HDBSCAN,20,4,0.1527,5.576133489608765
Random,20,4,0.1593,5.478874206542969
TypiClust-KMeans,40,4,0.2219,6.183448076248169
TypiClust-HDBSCAN,40,4,0.192,6.127281904220581
Random,40,4,0.1735,6.1549391746521
TypiClust-KMeans,80,4,0.2651,7.202287673950195
TypiClust-HDBSCAN,80,4,0.1764,6.279800653457642
Random,80,4,0.221,7.170844554901123
