method,budget,seed,accuracy,runtime
TypiClust,10,0,0.1127,4.535906553268433
Random,10,0,0.129,4.668596982955933
TypiClust,20,0,0.1097,4.938298225402832
Random,20,0,0.1336,4.97783637046814
TypiClust,40,0,0.2108,6.318037509918213
Random,40,0,0.134,5.6982598304748535
TypiClust,80,0,0.2417,6.597293853759766
Random,80,0,0.1963,6.628720998764038
TypiClust,10,1,0.1088,5.44108772277832
Random,10,1,0.1562,4.685788631439209
TypiClust,20,1,0.1042,4.890854358673096
Random,20,1,0.1532,4.950389623641968
TypiClust,40,1,0.2202,5.624822616577148
Random,40,1,0.1791,5.6765077114105225
TypiClust,80,1,0.2468,6.622803688049316
Random,80,1,0.1745,6.510425806045532
TypiClust,10,2,0.1188,4.647592067718506
Random,10,2,0.1339,5.3830718994140625
TypiClust,20,2,0.1117,5.002311706542969
Random,20,2,0.1538,5.011605978012085
TypiClust,40,2,0.217,5.648839712142944
Random,40,2,0.1896,6.299187660217285
TypiClust,80,2,0.2402,6.627637624740601
Random,80,2,0.2032,6.59022855758667
TypiClust,10,3,0.1094,4.670792818069458
Random,10,3,0.1041,5.725576639175415
TypiClust,20,3,0.1068,5.228364706039429
Random,20,3,0.1401,5.144922733306885
TypiClust,40,3,0.1896,5.7031638622283936
Random,40,3,0.1766,5.817509412765503
TypiClust,80,3,0.2475,7.647922515869141
Random,80,3,0.1817,6.755136013031006
TypiClust,10,4,0.1192,4.695025682449341
Random,10,4,0.1345,4.808742046356201
TypiClust,20,4,0.1084,5.953428268432617
Random,20,4,0.153,5.0918309688568115
TypiClust,40,4,0.2046,5.720198631286621
Random,40,4,0.1681,5.7988691329956055
TypiClust,80,4,0.2577,7.461639165878296
Random,80,4,0.2227,6.8215413093566895
