method,budget,seed,accuracy,runtime
Unsupervised,10,0,0.1438,8.632913589477539
Self-supervised,10,0,0.1124,8.887263536453247
Supervised,10,0,0.1407,9.827121257781982
Random,10,0,0.1366,8.217657566070557
Unsupervised,20,0,0.1644,8.786463260650635
Self-supervised,20,0,0.1143,10.558119535446167
Supervised,20,0,0.1762,9.444396495819092
Random,20,0,0.1703,9.373259782791138
Unsupervised,40,0,0.1751,10.983935356140137
Self-supervised,40,0,0.2036,10.022500276565552
Supervised,40,0,0.1826,9.904409170150757
Random,40,0,0.18,10.051280498504639
Unsupervised,80,0,0.2547,11.571306943893433
Self-supervised,80,0,0.2668,12.188965559005737
Supervised,80,0,0.2457,11.433276653289795
Random,80,0,0.2112,12.201920986175537
Unsupervised,10,1,0.1477,9.164995908737183
Self-supervised,10,1,0.1222,8.849592208862305
Supervised,10,1,0.1386,9.96469235420227
Random,10,1,0.147,9.23158597946167
Unsupervised,20,1,0.1703,9.633635997772217
Self-supervised,20,1,0.1445,10.441340684890747
Supervised,20,1,0.1956,9.954036951065063
Random,20,1,0.1335,10.540480375289917
Unsupervised,40,1,0.1981,10.823208808898926
Self-supervised,40,1,0.2248,10.80655813217163
Supervised,40,1,0.2164,11.710166931152344
Random,40,1,0.1745,10.949662446975708
Unsupervised,80,1,0.2667,11.842873096466064
Self-supervised,80,1,0.2662,11.938437461853027
Supervised,80,1,0.2508,11.88179349899292
Random,80,1,0.2415,12.613054990768433
Unsupervised,10,2,0.1553,9.309847116470337
Self-supervised,10,2,0.1337,9.729296207427979
Supervised,10,2,0.1532,9.667091369628906
Random,10,2,0.1184,9.750457286834717
Unsupervised,20,2,0.1649,11.024710178375244
Self-supervised,20,2,0.1169,10.232532501220703
Supervised,20,2,0.1882,10.019077062606812
Random,20,2,0.1336,10.941673040390015
Unsupervised,40,2,0.1658,9.575898885726929
Self-supervised,40,2,0.2123,11.778561353683472
Supervised,40,2,0.2116,11.152622938156128
Random,40,2,0.1763,10.889722347259521
Unsupervised,80,2,0.2743,12.851378202438354
Self-supervised,80,2,0.2587,12.164146184921265
Supervised,80,2,0.2433,12.814281940460205
Random,80,2,0.2087,12.138080835342407
Unsupervised,10,3,0.1485,9.533320426940918
Self-supervised,10,3,0.0992,10.792383670806885
Supervised,10,3,0.1496,9.658912658691406
Random,10,3,0.1247,10.564735174179077
Unsupervised,20,3,0.1513,10.463290452957153
Self-supervised,20,3,0.114,10.077593803405762
Supervised,20,3,0.2004,10.95933747291565
Random,20,3,0.1187,10.017268419265747
Unsupervised,40,3,0.1967,11.166351318359375
Self-supervised,40,3,0.177,10.840086460113525
Supervised,40,3,0.2309,11.038829326629639
Random,40,3,0.2047,12.070854902267456
Unsupervised,80,3,0.2607,11.92582654953003
Self-supervised,80,3,0.2361,13.240552186965942
Supervised,80,3,0.2371,11.992928504943848
Random,80,3,0.2206,12.00635552406311
Unsupervised,10,4,0.1416,9.712158441543579
Self-supervised,10,4,0.1381,9.67094898223877
Supervised,10,4,0.1261,10.618139743804932
Random,10,4,0.1369,9.719536542892456
Unsupervised,20,4,0.1412,10.267026662826538
Self-supervised,20,4,0.1143,11.009583950042725
Supervised,20,4,0.1537,10.134896755218506
Random,20,4,0.1671,9.883317470550537
Unsupervised,40,4,0.1951,11.963699102401733
Self-supervised,40,4,0.1805,10.724151611328125
Supervised,40,4,0.2034,11.860195398330688
Random,40,4,0.1897,10.97438383102417
Unsupervised,80,4,0.2788,11.913097858428955
Self-supervised,80,4,0.2445,12.03015923500061
Supervised,80,4,0.2397,11.709325313568115
Random,80,4,0.1945,13.31433916091919
