method,budget,seed,accuracy,runtime
Unsupervised,10,0,0.1463,9.598392963409424
Self-supervised,10,0,0.1153,8.114319086074829
Supervised,10,0,0.1554,9.880149126052856
Random,10,0,0.1368,10.029587984085083
Unsupervised,20,0,0.1563,8.527282476425171
Self-supervised,20,0,0.1239,10.103103876113892
Supervised,20,0,0.177,9.951716899871826
Random,20,0,0.1683,10.224484205245972
Unsupervised,40,0,0.2008,10.100409269332886
Self-supervised,40,0,0.2054,9.457653999328613
Supervised,40,0,0.2086,11.697144508361816
Random,40,0,0.1878,11.209811210632324
Unsupervised,80,0,0.2461,12.17032527923584
Self-supervised,80,0,0.25,12.59043574333191
Supervised,80,0,0.2427,11.444859504699707
Random,80,0,0.2235,12.49773621559143
Unsupervised,10,1,0.1466,8.611253499984741
Self-supervised,10,1,0.1171,9.604038953781128
Supervised,10,1,0.14,10.221120119094849
Random,10,1,0.1455,10.349319696426392
Unsupervised,20,1,0.1813,10.289558172225952
Self-supervised,20,1,0.1166,9.728787183761597
Supervised,20,1,0.1927,10.416850805282593
Random,20,1,0.1593,10.417591094970703
Unsupervised,40,1,0.1888,9.807175159454346
Self-supervised,40,1,0.2308,11.040239095687866
Supervised,40,1,0.2301,9.726179361343384
Random,40,1,0.1693,10.801353216171265
Unsupervised,80,1,0.2571,12.361250638961792
Self-supervised,80,1,0.2672,12.641331195831299
Supervised,80,1,0.246,12.414345026016235
Random,80,1,0.2384,11.10797667503357
Unsupervised,10,2,0.1505,9.969146966934204
Self-supervised,10,2,0.1127,8.647297143936157
Supervised,10,2,0.1671,10.6090669631958
Random,10,2,0.1361,9.985037326812744
Unsupervised,20,2,0.1657,9.001034259796143
Self-supervised,20,2,0.1227,11.17198133468628
Supervised,20,2,0.1919,9.675185441970825
Random,20,2,0.1382,10.37938928604126
Unsupervised,40,2,0.1707,11.096645593643188
Self-supervised,40,2,0.2099,9.932868480682373
Supervised,40,2,0.2162,11.280301570892334
Random,40,2,0.1859,10.274266481399536
Unsupervised,80,2,0.2744,12.812098264694214
Self-supervised,80,2,0.2718,12.779990434646606
Supervised,80,2,0.236,10.503206729888916
Random,80,2,0.2098,12.623124122619629
Unsupervised,10,3,0.1475,10.214765071868896
Self-supervised,10,3,0.112,9.126914501190186
Supervised,10,3,0.1429,10.197096347808838
Random,10,3,0.1248,8.593867778778076
Unsupervised,20,3,0.155,10.93778109550476
Self-supervised,20,3,0.124,11.128784418106079
Supervised,20,3,0.1903,10.366960525512695
Random,20,3,0.1195,8.426506042480469
Unsupervised,40,3,0.1947,11.410497188568115
Self-supervised,40,3,0.1829,11.094104766845703
Supervised,40,3,0.2158,11.730242013931274
Random,40,3,0.1882,11.63176941871643
Unsupervised,80,3,0.2673,12.403966665267944
Self-supervised,80,3,0.2412,11.307663917541504
Supervised,80,3,0.2349,11.199690818786621
Random,80,3,0.2213,12.99687385559082
Unsupervised,10,4,0.1435,9.985053300857544
Self-supervised,10,4,0.1404,9.810687780380249
Supervised,10,4,0.1341,8.281392812728882
Random,10,4,0.1402,9.762353897094727
Unsupervised,20,4,0.1504,10.36695647239685
Self-supervised,20,4,0.1116,10.780692100524902
Supervised,20,4,0.1693,10.212784767150879
Random,20,4,0.1691,9.093984365463257
Unsupervised,40,4,0.2011,11.490885734558105
Self-supervised,40,4,0.1867,10.458399772644043
Supervised,40,4,0.2002,11.5290048122406
Random,40,4,0.1886,11.711759328842163
Unsupervised,80,4,0.289,11.46074390411377
Self-supervised,80,4,0.2533,12.894617795944214
Supervised,80,4,0.2414,10.25751543045044
Random,80,4,0.1946,12.599375247955322
